附件1：违法网站域名（13480个）,,,,
序号,网站名称,URL,网站IP地址,类别
355,上海工字气枪,http://www.gzqqr.com,184.82.181.169,涉枪
356,上海气枪销售中心,http://www.gzqqx.com,184.82.181.169,涉枪
357,"气枪专卖商城 ",http://www.gzsqzm.com,216.218.206.228,涉枪
358,"上海气枪销售 
",http://www.gzzdxs.com,184.22.136.133,涉枪
359,河源气枪专卖网,http://www.heyuanqiqiang.in,173.252.204.140,涉枪
360,上海工字气枪,http://www.hgzqq.com,184.82.181.169,涉枪
361,"气枪铅弹钳 
",http://www.hhrhlh.info/,209.25.195.135,涉枪
362,气枪专卖网,http://www.hjhfh.info,72.11.151.54,涉枪
363,"气枪/手狗/汽狗 
",http://www.hongdai68.com,68.178.232.99,涉枪
364,鸿星气枪网,http://www.hongxingqq.com,180.178.56.30,涉枪
365,哈尔滨气枪,http://www.hrbqiqiang.in,173.252.220.113,涉枪
366,惠州气枪专卖网,http://www.huizhouqiqiang.in,173.252.204.140,涉枪
367,"户外狩猎用品网 ",http://www.hwsl988.com,184.82.181.17,涉枪
368,气枪提供,http://www.hzjrc.com,174.139.243.91,涉枪
